,min_read,overallLON,overallLAT,mnlogCH4,verified,numtimes,minDist,maxDist,mn_maxc2h6_ab,mn_maxch4_ab,geometry,recombine,em,threshold,First_Time
0,Spire_1606822043.8,-86.82347869870001,33.564609527600005,0.2359018174128724,False,1,0.0,0.0,1.297902500000001,1.26605,POINT (-86.82347869870001 33.56460952760001),['Spire_1606822043.8'],0.7369944163351596,0.05,2020-12-01 04:27:23
1,Spire_1606822225.4,-86.82290811492575,33.56025588778941,-1.4440465110553093,True,4,0.0,0.9921803362196222,0.3427774999999993,0.2373862499999999,POINT (-86.82290811492575 33.56025588778941),"['Spire_1606822225.4', 'Spire_1606830156.3', 'Spire_1606908882.5', 'Spire_1606993258.4']",0.07714775479874744,0.05,2020-12-01 04:30:25
2,Spire_1606822296.8,-86.82344574460697,33.55922445755086,-0.41013366443017274,True,2,0.0,0.0,14.978985000000002,1.10182625,POINT (-86.82344574460697 33.55922445755086),"['Spire_1606822296.8', 'Spire_1606830461.4']",0.3094171552028896,0.05,2020-12-01 04:31:36
3,Spire_1606822390.5,-86.8282397373031,33.556078906819074,0.5496081011712631,True,3,0.0,13.553140658036444,1.78932875,1.732709166666667,POINT (-86.82823973730309 33.55607890681907),"['Spire_1606822390.5', 'Spire_1606836107.6', 'Spire_1606836122.1', 'Spire_1606836178.4', 'Spire_1606836428.7', 'Spire_1606836428.7', 'Spire_1606836455.3', 'Spire_1606836455.3']",1.1232889080683288,0.05,2020-12-01 04:33:10
4,Spire_1606822410.5,-86.8291716982248,33.555176266055156,0.26162227269262084,True,5,0.0,17.17676992874809,1.5074722727272727,1.485481136363636,POINT (-86.8291716982248 33.55517626605516),"['Spire_1606822410.5', 'Spire_1606822465.3', 'Spire_1606836420.3', 'Spire_1606836500.4', 'Spire_1606836515.8', 'Spire_1606836536.3', 'Spire_1606836548.8', 'Spire_1606924418.1', 'Spire_1606925088.9', 'Spire_1606925107.3', 'Spire_1607001746.5']",0.7629049192225168,0.05,2020-12-01 04:33:30
5,Spire_1606822410.5,-86.8291716982248,33.555176266055156,0.26162227269262084,True,6,0.0,17.17676992874809,1.5074722727272727,1.485481136363636,POINT (-86.8291716982248 33.55517626605516),"['Spire_1606822410.5', 'Spire_1606822465.3', 'Spire_1606836420.3', 'Spire_1606836500.4', 'Spire_1606836515.8', 'Spire_1606836536.3', 'Spire_1606836548.8', 'Spire_1606924418.1', 'Spire_1606925088.9', 'Spire_1606925107.3', 'Spire_1607001746.5']",0.7629049192225168,0.05,2020-12-01 04:33:30
6,Spire_1606822431.5,-86.83018884390492,33.55481207956493,0.5814370976194494,True,3,11.243648731180915,15.130548737916325,2.015065000000001,1.7895050000000001,POINT (-86.83018884390492 33.55481207956493),"['Spire_1606822431.5', 'Spire_1606837048.7', 'Spire_1607001746.5']",1.1723617102750945,0.05,2020-12-01 04:33:51
7,Spire_1606822551.4,-86.8219807772686,33.55724312327471,-0.558687301341379,True,3,0.0,6.669670585093923,2.2163343333333327,0.77455,POINT (-86.82198077726861 33.55724312327471),"['Spire_1606822551.4', 'Spire_1606829372.9', 'Spire_1606994454.3']",0.2534387251694845,0.05,2020-12-01 04:35:51
8,Spire_1606822616.3,-86.82058572187779,33.558262979623244,-0.5528340937579301,True,2,0.2798602029920549,26.56799417382463,3.554740000000001,0.9620962500000001,POINT (-86.82058572187779 33.55826297962324),"['Spire_1606822616.3', 'Spire_1606993870.2']",0.25543943351570947,0.05,2020-12-01 04:36:56
9,Spire_1606822634.8,-86.81989648509513,33.55958980203196,-0.9420243866378092,True,2,0.0,3.586040610533775,-2.172373750000001,0.5077049999999999,POINT (-86.81989648509513 33.55958980203196),"['Spire_1606822634.8', 'Spire_1606834314.4']",0.15143304153766954,0.05,2020-12-01 04:37:14
10,Spire_1606822732.1,-86.81694388534015,33.55209407590402,0.17229577120009745,True,7,2.4306343026487944,16.682522641810436,43.79545944444445,4.007999999999999,POINT (-86.81694388534015 33.55209407590402),"['Spire_1606822732.1', 'Spire_1606823790.5', 'Spire_1606823861.2', 'Spire_1606824247.1', 'Spire_1606828419.8', 'Spire_1606995300.6', 'Spire_1606998302.6', 'Spire_1606998561.9', 'Spire_1606999788.5']",0.6766345883688644,0.05,2020-12-01 04:38:52
11,Spire_1606822747.4,-86.81606153848004,33.551264637004785,-0.17829042598039058,True,3,0.0,17.433264613901457,2.1778406250000004,1.0903693749999999,POINT (-86.81606153848004 33.55126463700478),"['Spire_1606822747.4', 'Spire_1606823100.1', 'Spire_1606824368.3', 'Spire_1606824373.4']",0.4224836277174403,0.05,2020-12-01 04:39:07
12,Spire_1606823269.4,-86.8301239014,33.5470733643,-0.20013528326529045,False,1,0.0,0.0,-0.026425000000000143,0.8186199999999997,POINT (-86.8301239014 33.5470733643),['Spire_1606823269.4'],0.4102653376763874,0.05,2020-12-01 04:47:49
13,Spire_1606823296.1,-86.82884250350676,33.54746993897752,0.528175912201896,True,2,3.8777418572021127,7.24036973304167,1.879643750000001,1.6967725,POINT (-86.82884250350676 33.54746993897752),"['Spire_1606823296.1', 'Spire_1606824470.9']",1.0914081136645057,0.05,2020-12-01 04:48:16
14,Spire_1606823588.4,-86.82122271978226,33.55192201255019,-0.8742530969877947,True,3,0.0,21.716872624244466,5.2666483333333325,0.6479991666666667,POINT (-86.82122271978226 33.55192201255019),"['Spire_1606823588.4', 'Spire_1606829933.8', 'Spire_1606993365.8']",0.16586730863222376,0.05,2020-12-01 04:53:08
15,Spire_1606823607.9,-86.81985066756492,33.5524056539276,-0.12716612741931127,True,5,2.9436553183364325,21.7367599513132,11.802444656250001,1.3021634375,POINT (-86.81985066756492 33.5524056539276),"['Spire_1606823607.9', 'Spire_1606825083.2', 'Spire_1606829556.6', 'Spire_1606829564.8', 'Spire_1606994156.2', 'Spire_1606994313.2', 'Spire_1606999109.2', 'Spire_1606999236.4']",0.45251981037046396,0.05,2020-12-01 04:53:27
